ev_id,station_id,arrival_time,departure_deadline,battery_capacity_kWh,initial_soc,target_soc,max_charging_power_kW,energy_required_kWh,minimum_charging_time_h,flexibility_buffer_h,scenario
EV_7a1afd00,ST008,2025-04-01 00:00:38,2025-04-01 06:59:05,96.78,8.34,88.34,22,77.43,3.52,3.45,HIGH_STRESS
EV_cdb665a7,ST002,2025-04-01 00:07:12,2025-04-01 13:58:07,99.73,5.89,95.62,7,89.49,12.78,1.06,HIGH_STRESS
EV_cc7da229,ST016,2025-04-01 00:17:00,2025-04-01 05:34:45,79.03,18.15,98.33,22,63.36,2.88,2.42,HIGH_STRESS
EV_50fb1576,ST019,2025-04-01 00:23:26,2025-04-01 04:44:28,81.82,5.53,93.13,22,71.68,3.26,1.09,HIGH_STRESS
EV_907aae47,ST009,2025-04-01 00:24:40,2025-04-01 07:18:31,74.54,8.34,87.48,11,59.0,5.36,1.53,HIGH_STRESS
EV_3136e304,ST012,2025-04-01 00:38:57,2025-04-01 04:54:09,81.92,17.0,92.92,50,62.2,1.24,3.01,HIGH_STRESS
EV_2ea874e8,ST009,2025-04-01 00:54:45,2025-04-01 05:07:45,87.74,10.13,90.0,50,70.08,1.4,2.82,HIGH_STRESS
EV_f12c8833,ST010,2025-04-01 00:57:35,2025-04-01 13:43:05,96.06,9.08,84.32,7,72.27,10.32,2.43,HIGH_STRESS
EV_bb1fb46a,ST014,2025-04-01 01:02:13,2025-04-01 08:09:18,87.03,14.91,80.32,11,56.93,5.18,1.94,HIGH_STRESS
EV_e2c285f4,ST019,2025-04-01 01:03:41,2025-04-01 04:05:56,86.79,14.47,98.87,50,73.25,1.47,1.57,HIGH_STRESS
EV_196893d5,ST011,2025-04-01 01:26:43,2025-04-01 15:42:21,97.95,14.09,99.2,7,83.36,11.91,2.35,HIGH_STRESS
EV_4def70df,ST003,2025-04-01 01:35:47,2025-04-01 05:24:30,98.66,10.81,82.44,50,70.67,1.41,2.4,HIGH_STRESS
EV_281ec40e,ST013,2025-04-01 01:37:34,2025-04-01 09:40:09,80.52,13.94,81.96,11,54.77,4.98,3.06,HIGH_STRESS
EV_3e0f2a57,ST001,2025-04-01 01:45:50,2025-04-01 11:22:54,71.09,6.9,89.26,7,58.55,8.36,1.25,HIGH_STRESS
EV_f2dcfcab,ST012,2025-04-01 01:48:16,2025-04-01 14:53:25,78.92,7.15,98.85,7,72.37,10.34,2.75,HIGH_STRESS
EV_99b3f902,ST016,2025-04-01 01:59:35,2025-04-01 07:51:07,77.15,12.61,81.13,22,52.87,2.4,3.46,HIGH_STRESS
EV_3e099df7,ST010,2025-04-01 02:16:39,2025-04-01 06:25:14,86.02,13.39,90.9,22,66.67,3.03,1.11,HIGH_STRESS
EV_d82d6adb,ST020,2025-04-01 02:27:20,2025-04-01 09:24:48,70.49,14.65,88.88,11,52.33,4.76,2.2,HIGH_STRESS
EV_53af6a2e,ST015,2025-04-01 02:47:04,2025-04-01 13:02:01,70.1,7.2,93.18,7,60.27,8.61,1.64,HIGH_STRESS
EV_f08294d4,ST006,2025-04-01 03:09:35,2025-04-01 15:16:34,94.39,19.06,96.71,7,73.29,10.47,1.65,HIGH_STRESS
EV_a9bec7bb,ST010,2025-04-01 03:50:02,2025-04-01 12:20:22,74.14,17.83,83.08,7,48.38,6.91,1.59,HIGH_STRESS
EV_cc8bf89a,ST005,2025-04-01 04:25:01,2025-04-01 15:07:34,90.67,8.31,93.61,11,77.35,7.03,3.68,HIGH_STRESS
EV_19a8465e,ST003,2025-04-01 04:49:11,2025-04-01 17:22:53,93.56,12.04,91.71,7,74.54,10.65,1.91,HIGH_STRESS
EV_b1cd1146,ST011,2025-04-01 05:32:43,2025-04-01 14:37:07,71.52,16.62,97.43,11,57.8,5.25,3.82,HIGH_STRESS
EV_efddc4d4,ST015,2025-04-01 05:33:21,2025-04-01 12:53:02,88.53,12.62,95.58,22,73.45,3.34,3.99,HIGH_STRESS
EV_6672ce8c,ST012,2025-04-01 05:51:06,2025-04-01 15:26:51,93.75,5.6,95.76,11,84.52,7.68,1.91,HIGH_STRESS
EV_150c6f34,ST004,2025-04-01 06:10:10,2025-04-01 18:38:26,94.59,14.08,97.3,7,78.72,11.25,1.22,HIGH_STRESS
EV_28d6da36,ST001,2025-04-01 06:56:46,2025-04-01 19:05:04,85.14,5.14,86.84,7,69.56,9.94,2.2,HIGH_STRESS
EV_90d2ba5c,ST007,2025-04-01 07:03:36,2025-04-01 14:49:32,77.29,19.42,91.93,11,56.04,5.09,2.67,HIGH_STRESS
EV_f5ac315e,ST007,2025-04-01 07:03:45,2025-04-01 12:42:25,82.75,19.1,80.3,11,50.64,4.6,1.04,HIGH_STRESS
EV_ed15a82e,ST014,2025-04-01 07:08:49,2025-04-01 21:39:58,98.72,11.2,94.04,7,81.78,11.68,2.84,HIGH_STRESS
EV_b5bb867f,ST010,2025-04-01 07:34:08,2025-04-01 16:10:58,86.7,13.5,80.56,11,58.14,5.29,3.33,HIGH_STRESS
EV_130547ed,ST019,2025-04-01 07:46:48,2025-04-01 15:12:25,75.04,13.77,90.67,11,57.71,5.25,2.18,HIGH_STRESS
EV_d1cfae27,ST007,2025-04-01 08:02:55,2025-04-01 11:35:59,80.93,17.79,83.03,22,52.8,2.4,1.15,HIGH_STRESS
EV_26268569,ST017,2025-04-01 08:09:01,2025-04-01 12:32:30,92.32,5.14,91.16,50,79.41,1.59,2.8,HIGH_STRESS
EV_e1df11c3,ST018,2025-04-01 08:10:13,2025-04-01 16:59:03,70.19,5.53,97.96,11,64.88,5.9,2.92,HIGH_STRESS
EV_1c5572b6,ST020,2025-04-01 08:14:54,2025-04-01 22:22:09,98.51,8.89,88.27,7,78.2,11.17,2.95,HIGH_STRESS
EV_5087f5c6,ST017,2025-04-01 08:24:37,2025-04-01 11:51:47,95.57,5.88,81.75,50,72.5,1.45,2.0,HIGH_STRESS
EV_9d26f3a5,ST001,2025-04-01 08:37:26,2025-04-01 21:29:27,87.04,13.01,84.48,7,62.2,8.89,3.98,HIGH_STRESS
EV_4892c3ae,ST015,2025-04-01 08:42:16,2025-04-01 15:28:30,77.52,5.87,93.36,22,67.83,3.08,3.69,HIGH_STRESS
EV_b86703a2,ST005,2025-04-01 08:51:46,2025-04-01 17:12:48,84.31,9.04,98.33,11,75.28,6.84,1.51,HIGH_STRESS
EV_8e493873,ST007,2025-04-01 08:55:41,2025-04-01 13:57:01,76.22,17.52,90.44,22,55.58,2.53,2.5,HIGH_STRESS
