ev_id,station_id,arrival_time,departure_deadline,battery_capacity_kWh,initial_soc,target_soc,max_charging_power_kW,energy_required_kWh,minimum_charging_time_h,flexibility_buffer_h,scenario
EV_71b21a6e,ST009,2025-04-01 00:23:42,2025-04-01 08:34:45,77.51,6.03,83.24,7,59.84,8.55,-0.37,INFEASIBLE
EV_48312e7e,ST006,2025-04-01 00:29:11,2025-04-01 01:01:48,97.84,15.6,89.14,50,71.96,1.44,-0.9,INFEASIBLE
EV_5e9ac243,ST008,2025-04-01 00:29:56,2025-04-01 02:41:06,80.13,18.32,97.55,22,63.49,2.89,-0.7,INFEASIBLE
EV_a6dd23ef,ST014,2025-04-01 00:32:32,2025-04-01 01:25:51,87.11,17.27,82.96,50,57.22,1.14,-0.26,INFEASIBLE
EV_27a974a0,ST004,2025-04-01 00:59:51,2025-04-01 03:32:29,81.69,16.79,95.66,22,64.43,2.93,-0.38,INFEASIBLE
EV_5d600383,ST016,2025-04-01 01:07:43,2025-04-01 10:20:41,94.27,16.29,87.0,7,66.66,9.52,-0.31,INFEASIBLE
EV_07c88f3c,ST010,2025-04-01 01:17:25,2025-04-01 02:59:09,84.44,19.52,87.59,22,57.47,2.61,-0.92,INFEASIBLE
EV_6d0a5aef,ST020,2025-04-01 01:29:34,2025-04-01 06:21:17,78.89,11.43,90.67,11,62.51,5.68,-0.82,INFEASIBLE
EV_4f886e91,ST018,2025-04-01 01:53:05,2025-04-01 14:29:37,96.73,5.51,98.5,7,89.94,12.85,-0.24,INFEASIBLE
EV_14535788,ST002,2025-04-01 02:16:57,2025-04-01 09:33:02,99.94,5.92,93.87,11,87.89,7.99,-0.72,INFEASIBLE
EV_69db34e4,ST011,2025-04-01 02:27:30,2025-04-01 08:55:36,72.88,15.99,84.92,7,50.23,7.18,-0.71,INFEASIBLE
EV_e92fdbc7,ST015,2025-04-01 03:19:23,2025-04-01 07:53:06,72.69,5.14,88.09,11,60.29,5.48,-0.92,INFEASIBLE
EV_45fa7244,ST014,2025-04-01 03:33:54,2025-04-01 06:11:43,96.15,17.79,99.1,22,78.18,3.55,-0.92,INFEASIBLE
EV_a2bfde24,ST018,2025-04-01 03:38:47,2025-04-01 09:40:16,84.81,10.02,93.16,11,70.51,6.41,-0.39,INFEASIBLE
EV_5401926d,ST011,2025-04-01 03:55:07,2025-04-01 12:53:12,86.82,13.37,92.37,7,68.59,9.8,-0.83,INFEASIBLE
EV_66a177c2,ST001,2025-04-01 04:13:18,2025-04-01 07:22:23,92.04,5.19,93.2,22,81.01,3.68,-0.53,INFEASIBLE
EV_d5af92fd,ST007,2025-04-01 04:13:56,2025-04-01 05:15:14,97.51,16.01,98.85,50,80.78,1.62,-0.59,INFEASIBLE
EV_547a43f5,ST016,2025-04-01 04:23:43,2025-04-01 04:25:42,73.78,17.03,82.9,50,48.61,0.97,-0.94,INFEASIBLE
EV_4b46c775,ST006,2025-04-01 04:46:28,2025-04-01 11:17:42,96.05,11.95,97.85,11,82.5,7.5,-0.98,INFEASIBLE
