ev_id,station_id,arrival_time,departure_deadline,battery_capacity_kWh,initial_soc,target_soc,max_charging_power_kW,energy_required_kWh,minimum_charging_time_h,flexibility_buffer_h,scenario
EV_885b01b4,ST001,2025-04-01 00:19:56,2025-04-01 14:29:13,57.56,49.87,82.78,7,18.94,2.71,11.45,NORMAL_EVENING
EV_1b7d7098,ST001,2025-04-01 00:28:53,2025-04-01 10:30:16,65.53,54.02,99.28,50,29.66,0.59,9.43,NORMAL_EVENING
EV_ec16e73d,ST009,2025-04-01 00:43:08,2025-04-01 11:57:11,86.47,58.61,80.27,22,18.74,0.85,10.38,NORMAL_EVENING
EV_4387dbf5,ST017,2025-04-01 00:43:45,2025-04-01 19:41:57,96.41,11.83,86.9,7,72.37,10.34,8.63,NORMAL_EVENING
EV_af6324ff,ST013,2025-04-01 01:27:21,2025-04-01 14:16:54,75.67,45.66,84.41,11,29.32,2.67,10.16,NORMAL_EVENING
EV_1a248252,ST004,2025-04-01 01:29:10,2025-04-01 12:02:04,90.76,47.07,98.44,22,46.62,2.12,8.43,NORMAL_EVENING
EV_3fe4c346,ST001,2025-04-01 01:37:35,2025-04-01 16:11:34,96.82,43.95,81.78,7,36.63,5.23,9.33,NORMAL_EVENING
EV_1bf71da1,ST006,2025-04-01 01:41:11,2025-04-01 17:53:36,86.11,23.16,81.33,11,50.09,4.55,11.65,NORMAL_EVENING
EV_3f368911,ST015,2025-04-01 02:04:37,2025-04-01 18:39:10,72.6,43.16,93.69,7,36.68,5.24,11.34,NORMAL_EVENING
EV_5353182a,ST019,2025-04-01 02:07:20,2025-04-01 15:43:08,78.91,49.02,85.73,11,28.96,2.63,10.96,NORMAL_EVENING
EV_c571458e,ST004,2025-04-01 02:10:16,2025-04-01 16:42:44,86.97,51.01,81.64,7,26.64,3.81,10.74,NORMAL_EVENING
EV_8ad91117,ST015,2025-04-01 02:32:56,2025-04-01 21:08:43,82.12,19.78,95.84,7,62.46,8.92,9.67,NORMAL_EVENING
EV_67801230,ST002,2025-04-01 02:35:48,2025-04-01 14:09:12,39.84,38.15,83.65,22,18.13,0.82,10.73,NORMAL_EVENING
EV_67fdab19,ST015,2025-04-01 02:57:46,2025-04-01 12:43:55,72.46,54.87,99.23,22,32.15,1.46,8.31,NORMAL_EVENING
EV_01090089,ST015,2025-04-01 03:12:29,2025-04-01 18:04:42,91.93,59.42,95.49,7,33.16,4.74,10.13,NORMAL_EVENING
EV_6b2a02ed,ST012,2025-04-01 03:15:18,2025-04-01 17:22:41,37.49,49.57,95.68,7,17.29,2.47,11.65,NORMAL_EVENING
EV_d301eb64,ST012,2025-04-01 03:26:47,2025-04-01 16:27:45,92.22,54.94,98.31,11,39.99,3.64,9.38,NORMAL_EVENING
EV_77693451,ST001,2025-04-01 03:27:29,2025-04-01 17:20:25,80.2,18.23,81.61,11,50.83,4.62,9.26,NORMAL_EVENING
EV_32fbc9ca,ST014,2025-04-01 03:32:41,2025-04-01 16:39:36,41.36,52.89,91.63,11,16.03,1.46,11.66,NORMAL_EVENING
EV_d6880a33,ST017,2025-04-01 03:37:19,2025-04-01 17:04:11,51.38,20.89,94.09,7,37.61,5.37,8.08,NORMAL_EVENING
EV_e3a42a79,ST001,2025-04-01 03:38:34,2025-04-01 19:00:36,83.4,38.89,85.89,11,39.2,3.56,11.8,NORMAL_EVENING
EV_e5b5fd10,ST017,2025-04-01 03:45:40,2025-04-01 17:45:18,99.68,14.75,80.31,11,65.34,5.94,8.05,NORMAL_EVENING
EV_46fa8a5e,ST007,2025-04-01 04:19:41,2025-04-01 19:54:28,87.87,49.59,93.56,7,38.63,5.52,10.06,NORMAL_EVENING
EV_70f5db17,ST002,2025-04-01 04:20:44,2025-04-01 19:53:40,46.2,13.32,85.15,7,33.19,4.74,10.81,NORMAL_EVENING
EV_f874fa4c,ST009,2025-04-01 04:21:11,2025-04-01 21:56:12,80.79,12.86,90.17,11,62.46,5.68,11.91,NORMAL_EVENING
EV_440fed40,ST002,2025-04-01 04:29:26,2025-04-01 17:04:58,36.7,20.32,97.52,7,28.33,4.05,8.54,NORMAL_EVENING
EV_f88f5eff,ST005,2025-04-01 04:49:48,2025-04-01 15:18:06,52.76,46.3,85.09,22,20.46,0.93,9.54,NORMAL_EVENING
EV_02ea16c3,ST010,2025-04-01 05:04:14,2025-04-01 16:52:30,38.74,47.17,98.63,7,19.94,2.85,8.96,NORMAL_EVENING
EV_24a615c7,ST008,2025-04-01 05:07:39,2025-04-01 19:43:47,33.56,28.62,94.2,7,22.01,3.14,11.46,NORMAL_EVENING
EV_d3a93009,ST008,2025-04-01 05:32:27,2025-04-01 23:06:34,97.56,26.46,92.74,11,64.67,5.88,11.69,NORMAL_EVENING
EV_14fab985,ST020,2025-04-01 06:47:13,2025-04-01 18:12:42,40.56,59.04,89.57,22,12.38,0.56,10.86,NORMAL_EVENING
EV_629fcd87,ST014,2025-04-01 07:16:43,2025-04-01 20:29:44,71.86,48.93,88.37,22,28.34,1.29,11.93,NORMAL_EVENING
EV_41105e53,ST013,2025-04-01 07:54:46,2025-04-01 20:00:00,67.69,36.65,92.84,22,38.04,1.73,10.36,NORMAL_EVENING
EV_6034f2c1,ST020,2025-04-01 07:54:59,2025-04-01 21:08:28,48.6,17.6,86.38,22,33.43,1.52,11.71,NORMAL_EVENING
EV_e23aa111,ST015,2025-04-01 08:14:24,2025-04-01 21:14:19,75.95,41.65,84.0,22,32.16,1.46,11.54,NORMAL_EVENING
EV_e4a3c6f1,ST001,2025-04-01 09:07:19,2025-04-01 22:34:09,71.38,20.01,82.85,11,44.85,4.08,9.37,NORMAL_EVENING
EV_4193f185,ST006,2025-04-01 09:08:39,2025-04-01 21:13:56,32.93,26.99,86.06,11,19.45,1.77,10.32,NORMAL_EVENING
EV_873aa0c3,ST013,2025-04-01 09:17:39,2025-04-01 20:43:33,43.26,37.91,96.41,11,25.31,2.3,9.13,NORMAL_EVENING
EV_55e41ec4,ST003,2025-04-01 09:44:15,2025-04-01 21:49:35,64.01,53.58,98.87,50,28.99,0.58,11.51,NORMAL_EVENING
EV_2d9df2b5,ST008,2025-04-01 10:17:14,2025-04-02 05:35:06,97.93,12.96,88.92,7,74.39,10.63,8.67,NORMAL_EVENING
EV_cb6e8922,ST019,2025-04-01 10:49:15,2025-04-01 20:07:38,30.49,25.57,82.82,22,17.45,0.79,8.51,NORMAL_EVENING
EV_3ba805fe,ST019,2025-04-01 10:55:42,2025-04-01 23:48:58,64.76,58.89,98.1,11,25.39,2.31,10.58,NORMAL_EVENING
EV_b5cdf203,ST007,2025-04-01 11:00:19,2025-04-01 22:41:36,61.46,51.56,85.57,7,20.9,2.99,8.7,NORMAL_EVENING
EV_78e05fbf,ST013,2025-04-01 11:06:23,2025-04-01 21:51:32,35.39,52.52,87.35,7,12.32,1.76,8.99,NORMAL_EVENING
EV_d6fadb3b,ST005,2025-04-01 11:34:55,2025-04-02 01:57:58,70.52,44.25,82.35,11,26.87,2.44,11.94,NORMAL_EVENING
EV_8eef47c1,ST016,2025-04-01 11:49:09,2025-04-02 01:40:07,62.31,48.27,87.85,11,24.66,2.24,11.61,NORMAL_EVENING
EV_48d92347,ST012,2025-04-01 11:50:39,2025-04-01 23:58:18,84.78,33.34,97.37,22,54.29,2.47,9.66,NORMAL_EVENING
EV_05a8d054,ST003,2025-04-01 12:03:33,2025-04-01 22:39:42,32.59,28.24,92.72,22,21.01,0.96,9.65,NORMAL_EVENING
EV_1d41ce0c,ST017,2025-04-01 12:14:12,2025-04-02 02:47:10,95.21,39.96,87.08,11,44.86,4.08,10.47,NORMAL_EVENING
EV_85fadbfa,ST015,2025-04-01 12:17:01,2025-04-02 02:20:12,33.35,36.66,81.79,7,15.05,2.15,11.9,NORMAL_EVENING
EV_660eb926,ST007,2025-04-01 12:27:50,2025-04-02 04:01:15,53.63,48.78,96.21,7,25.44,3.63,11.92,NORMAL_EVENING
EV_386ed441,ST013,2025-04-01 12:31:21,2025-04-02 03:20:52,93.97,32.23,82.78,7,47.5,6.79,8.04,NORMAL_EVENING
EV_0043f6f6,ST014,2025-04-01 12:34:35,2025-04-01 22:28:13,35.01,41.12,92.88,11,18.12,1.65,8.25,NORMAL_EVENING
EV_1a5939e2,ST010,2025-04-01 12:58:38,2025-04-02 00:50:43,35.73,24.26,87.92,11,22.74,2.07,9.8,NORMAL_EVENING
EV_07f42d41,ST010,2025-04-01 13:21:05,2025-04-02 00:25:30,44.46,46.44,83.89,50,16.65,0.33,10.74,NORMAL_EVENING
EV_c271af63,ST015,2025-04-01 13:38:04,2025-04-02 02:00:40,35.55,59.93,95.45,7,12.63,1.8,10.57,NORMAL_EVENING
EV_c72a38f3,ST010,2025-04-01 13:49:37,2025-04-02 01:09:02,31.74,37.16,99.09,22,19.65,0.89,10.43,NORMAL_EVENING
EV_f5552975,ST012,2025-04-01 14:02:50,2025-04-02 03:53:16,67.43,29.17,92.43,11,42.66,3.88,9.96,NORMAL_EVENING
EV_6e75bb6e,ST015,2025-04-01 14:36:28,2025-04-02 00:10:48,42.96,50.27,86.41,11,15.52,1.41,8.16,NORMAL_EVENING
EV_a2c252ef,ST019,2025-04-01 15:32:31,2025-04-02 03:39:13,45.66,17.17,95.92,11,35.95,3.27,8.84,NORMAL_EVENING
EV_93e0c497,ST002,2025-04-01 15:39:44,2025-04-02 07:02:26,71.58,22.74,81.52,7,42.08,6.01,9.37,NORMAL_EVENING
EV_1c3935ed,ST007,2025-04-01 15:48:37,2025-04-02 06:36:47,50.4,15.26,98.38,7,41.89,5.98,8.82,NORMAL_EVENING
