ev_id,station_id,arrival_time,departure_deadline,battery_capacity_kWh,initial_soc,target_soc,max_charging_power_kW,energy_required_kWh,minimum_charging_time_h,flexibility_buffer_h,scenario
EV_d7478336,ST014,2025-04-01 00:18:07,2025-04-01 05:46:02,49.66,15.37,87.55,7,35.85,5.12,0.34,TIGHT_DEADLINE
EV_e409d025,ST019,2025-04-01 00:18:39,2025-04-01 06:33:53,90.47,49.06,94.19,7,40.83,5.83,0.42,TIGHT_DEADLINE
EV_b30a77e9,ST018,2025-04-01 00:48:31,2025-04-01 10:09:58,80.75,14.39,95.11,7,65.19,9.31,0.04,TIGHT_DEADLINE
EV_a62646e8,ST019,2025-04-01 01:04:46,2025-04-01 07:03:03,70.13,42.81,98.6,7,39.13,5.59,0.38,TIGHT_DEADLINE
EV_3e922a61,ST004,2025-04-01 01:11:48,2025-04-01 08:19:23,61.09,13.22,92.75,7,48.58,6.94,0.19,TIGHT_DEADLINE
EV_327f7bbc,ST002,2025-04-01 01:30:03,2025-04-01 04:17:15,97.15,29.91,88.1,22,56.54,2.57,0.22,TIGHT_DEADLINE
EV_892c4795,ST003,2025-04-01 01:36:20,2025-04-01 04:15:29,43.17,50.95,90.03,7,16.87,2.41,0.24,TIGHT_DEADLINE
EV_2ceec908,ST017,2025-04-01 02:00:15,2025-04-01 04:05:56,34.11,42.86,80.62,7,12.88,1.84,0.25,TIGHT_DEADLINE
EV_7974a5d9,ST004,2025-04-01 02:19:46,2025-04-01 09:01:22,56.28,13.25,95.56,7,46.33,6.62,0.08,TIGHT_DEADLINE
EV_df61af28,ST020,2025-04-01 02:22:34,2025-04-01 04:14:38,36.48,50.85,94.99,11,16.1,1.46,0.4,TIGHT_DEADLINE
EV_14a6bb85,ST010,2025-04-01 02:27:20,2025-04-01 02:59:49,36.65,35.68,87.84,50,19.11,0.38,0.16,TIGHT_DEADLINE
EV_75506a15,ST020,2025-04-01 02:33:16,2025-04-01 05:06:33,39.97,20.94,83.81,11,25.13,2.28,0.27,TIGHT_DEADLINE
EV_e3a277c1,ST004,2025-04-01 02:42:46,2025-04-01 03:34:50,51.56,31.64,92.33,50,31.29,0.63,0.24,TIGHT_DEADLINE
EV_c1ae23e0,ST012,2025-04-01 02:55:16,2025-04-01 11:13:36,68.21,15.11,95.28,7,54.69,7.81,0.49,TIGHT_DEADLINE
EV_dd1b7842,ST010,2025-04-01 03:04:41,2025-04-01 04:13:33,61.55,56.1,90.78,22,21.34,0.97,0.18,TIGHT_DEADLINE
EV_4303a60d,ST013,2025-04-01 03:29:04,2025-04-01 11:52:50,79.67,23.82,96.77,7,58.12,8.3,0.09,TIGHT_DEADLINE
EV_e28febde,ST001,2025-04-01 03:55:41,2025-04-01 06:04:02,87.97,40.39,85.3,22,39.5,1.8,0.34,TIGHT_DEADLINE
EV_895bcf74,ST013,2025-04-01 04:04:13,2025-04-01 07:24:32,46.43,53.63,96.96,7,20.12,2.87,0.46,TIGHT_DEADLINE
EV_06e9b885,ST013,2025-04-01 04:31:51,2025-04-01 07:13:08,79.55,50.54,87.06,11,29.05,2.64,0.05,TIGHT_DEADLINE
EV_b6ea34f9,ST012,2025-04-01 04:53:48,2025-04-01 11:10:36,82.21,43.27,93.46,7,41.27,5.9,0.38,TIGHT_DEADLINE
EV_7b486eb4,ST001,2025-04-01 05:40:08,2025-04-01 12:11:00,74.73,27.5,85.37,7,43.25,6.18,0.34,TIGHT_DEADLINE
EV_2daaa2c6,ST001,2025-04-01 05:45:59,2025-04-01 08:39:00,47.74,58.8,97.38,7,18.42,2.63,0.25,TIGHT_DEADLINE
EV_4e2c71d3,ST017,2025-04-01 05:51:36,2025-04-01 07:17:15,49.65,43.49,92.64,22,24.41,1.11,0.32,TIGHT_DEADLINE
EV_ce249cb0,ST011,2025-04-01 06:04:07,2025-04-01 13:07:30,86.03,39.92,93.28,7,45.9,6.56,0.5,TIGHT_DEADLINE
EV_1826c1db,ST010,2025-04-01 06:10:00,2025-04-01 15:55:56,76.71,13.11,98.36,7,65.39,9.34,0.42,TIGHT_DEADLINE
EV_1c61ba15,ST013,2025-04-01 06:31:05,2025-04-01 13:01:39,54.18,12.35,96.0,7,45.32,6.47,0.03,TIGHT_DEADLINE
EV_14a2b524,ST018,2025-04-01 06:35:38,2025-04-01 12:53:28,72.89,28.84,84.87,7,40.84,5.83,0.46,TIGHT_DEADLINE
EV_cf5324c8,ST012,2025-04-01 06:45:49,2025-04-01 16:50:45,92.79,23.3,98.75,7,70.01,10.0,0.08,TIGHT_DEADLINE
EV_a58097ef,ST017,2025-04-01 07:01:38,2025-04-01 07:35:56,67.21,53.05,80.62,50,18.53,0.37,0.2,TIGHT_DEADLINE
EV_5036a6d7,ST014,2025-04-01 07:04:37,2025-04-01 10:44:19,71.77,45.84,97.09,11,36.79,3.34,0.32,TIGHT_DEADLINE
EV_dc734f43,ST006,2025-04-01 07:21:50,2025-04-01 08:51:41,36.05,56.98,84.6,7,9.96,1.42,0.07,TIGHT_DEADLINE
EV_2b970513,ST008,2025-04-01 07:44:32,2025-04-01 08:32:15,42.01,11.04,97.11,50,36.16,0.72,0.07,TIGHT_DEADLINE
EV_ce196f91,ST017,2025-04-01 07:53:08,2025-04-01 13:56:50,61.85,24.5,90.88,7,41.06,5.87,0.2,TIGHT_DEADLINE
EV_2f525d1b,ST012,2025-04-01 08:01:43,2025-04-01 13:18:38,75.23,21.4,95.94,11,56.08,5.1,0.18,TIGHT_DEADLINE
EV_c7a5b486,ST001,2025-04-01 08:03:10,2025-04-01 10:37:55,33.47,53.89,97.49,7,14.59,2.08,0.49,TIGHT_DEADLINE
EV_bb338fb0,ST019,2025-04-01 08:08:33,2025-04-01 08:50:20,62.79,59.26,86.59,50,17.16,0.34,0.35,TIGHT_DEADLINE
EV_ebe83300,ST001,2025-04-01 08:19:25,2025-04-01 10:43:07,37.23,33.02,89.9,11,21.18,1.93,0.47,TIGHT_DEADLINE
EV_43716d21,ST018,2025-04-01 08:19:58,2025-04-01 10:04:45,74.56,38.82,87.49,22,36.29,1.65,0.1,TIGHT_DEADLINE
EV_37f2496f,ST010,2025-04-01 08:28:33,2025-04-01 11:28:53,32.88,12.1,96.79,11,27.84,2.53,0.47,TIGHT_DEADLINE
EV_ec40252e,ST019,2025-04-01 08:32:36,2025-04-01 15:16:41,59.07,19.12,97.45,7,46.27,6.61,0.12,TIGHT_DEADLINE
EV_30fa2c13,ST016,2025-04-01 08:53:09,2025-04-01 13:52:04,90.5,55.94,91.97,7,32.61,4.66,0.32,TIGHT_DEADLINE
EV_db974c0e,ST011,2025-04-01 08:54:13,2025-04-01 11:27:50,83.15,37.69,99.61,22,51.48,2.34,0.22,TIGHT_DEADLINE
EV_c5791577,ST006,2025-04-01 09:14:48,2025-04-01 10:32:21,92.94,48.45,91.22,50,39.75,0.79,0.5,TIGHT_DEADLINE
EV_77a1791d,ST014,2025-04-01 09:20:12,2025-04-01 10:58:30,59.22,30.77,86.38,22,32.93,1.5,0.14,TIGHT_DEADLINE
EV_9077c08a,ST002,2025-04-01 09:28:00,2025-04-01 18:31:42,81.97,19.92,95.39,7,61.86,8.84,0.22,TIGHT_DEADLINE
EV_d60f3d53,ST011,2025-04-01 09:51:15,2025-04-01 10:34:37,34.24,54.67,89.69,22,11.99,0.55,0.18,TIGHT_DEADLINE
EV_9d55d08c,ST018,2025-04-01 09:57:03,2025-04-01 12:35:07,96.41,59.43,87.79,11,27.35,2.49,0.15,TIGHT_DEADLINE
EV_4524245d,ST002,2025-04-01 10:01:07,2025-04-01 11:19:39,36.12,34.06,97.97,22,23.08,1.05,0.26,TIGHT_DEADLINE
EV_39ab4408,ST019,2025-04-01 10:02:44,2025-04-01 15:14:20,45.5,20.28,98.46,7,35.57,5.08,0.11,TIGHT_DEADLINE
EV_faa8d0d8,ST015,2025-04-01 10:09:59,2025-04-01 12:34:54,59.7,51.83,91.04,11,23.41,2.13,0.29,TIGHT_DEADLINE
EV_67f561f7,ST012,2025-04-01 10:42:54,2025-04-01 13:40:41,76.48,51.4,87.42,11,27.55,2.5,0.46,TIGHT_DEADLINE
EV_5e6b59bc,ST014,2025-04-01 10:45:09,2025-04-01 18:36:49,68.01,22.47,98.29,7,51.57,7.37,0.49,TIGHT_DEADLINE
EV_40e586fa,ST005,2025-04-01 10:49:01,2025-04-01 11:54:36,47.53,52.25,94.22,22,19.95,0.91,0.19,TIGHT_DEADLINE
EV_0d33a490,ST010,2025-04-01 10:55:30,2025-04-01 11:43:51,79.21,41.34,86.65,50,35.88,0.72,0.09,TIGHT_DEADLINE
